#Wave     G         Gbp3      Grp3      Grvs
4470.0    0.575729  0.624677  0.000000  0.000000
4480.0    0.577941  0.625700  0.000000  0.000000
4490.0    0.580249  0.626754  0.000000  0.000000
4500.0    0.581872  0.626993  0.000000  0.000000
4510.0    0.583394  0.627045  0.000000  0.000000
4520.0    0.585628  0.627776  0.000000  0.000000
4530.0    0.587494  0.628025  0.000000  0.000000
4540.0    0.589025  0.627830  0.000000  0.000000
4550.0    0.590852  0.627864  0.000000  0.000000
4560.0    0.592639  0.627769  0.000000  0.000000
4570.0    0.594016  0.627251  0.000000  0.000000
4580.0    0.595569  0.627003  0.000000  0.000000
4590.0    0.597392  0.627126  0.000000  0.000000
4600.0    0.598921  0.627028  0.000000  0.000000
4610.0    0.600467  0.627038  0.000000  0.000000
4620.0    0.601873  0.626989  0.000000  0.000000
4630.0    0.603067  0.626807  0.000000  0.000000
4640.0    0.604505  0.626967  0.000000  0.000000
4650.0    0.606294  0.627575  0.000000  0.000000
4660.0    0.607859  0.628032  0.000000  0.000000
4670.0    0.608847  0.627969  0.000000  0.000000
4680.0    0.609885  0.628035  0.000000  0.000000
4690.0    0.611545  0.628815  0.000000  0.000000
4700.0    0.612743  0.629195  0.000000  0.000000
4710.0    0.613700  0.629406  0.000000  0.000000
4720.0    0.615381  0.630437  0.000000  0.000000
4730.0    0.616749  0.631227  0.000000  0.000000
4740.0    0.617689  0.631648  0.000000  0.000000
4750.0    0.618785  0.632207  0.000000  0.000000
4760.0    0.620193  0.633049  0.000000  0.000000
4770.0    0.621717  0.633972  0.000000  0.000000
4780.0    0.622887  0.634497  0.000000  0.000000
4790.0    0.623670  0.634587  0.000000  0.000000
4800.0    0.624456  0.634637  0.000000  0.000000
4810.0    0.626143  0.635559  0.000000  0.000000
4820.0    0.626893  0.635486  0.000000  0.000000
4830.0    0.627327  0.635059  0.000000  0.000000
4840.0    0.628187  0.635032  0.000000  0.000000
4850.0    0.629416  0.635342  0.000000  0.000000
4860.0    0.630629  0.635598  0.000000  0.000000
4870.0    0.631828  0.635801  0.000000  0.000000
4880.0    0.632723  0.635650  0.000000  0.000000
4890.0    0.633616  0.635450  0.000000  0.000000
4900.0    0.634592  0.635286  0.000000  0.000000
4910.0    0.635435  0.634944  0.000000  0.000000
4920.0    0.635984  0.634267  0.000000  0.000000
4930.0    0.636865  0.633882  0.000000  0.000000
4940.0    0.638096  0.633817  0.000000  0.000000
4950.0    0.639617  0.634065  0.000000  0.000000
