# Bessell Johnson-Cousins UBVRI Filters
# Wave  U       B       V       R       I
8500.0	0.00	0.00	0.00	3.00	91.00
8550.0	0.00	0.00	0.00	2.70	88.50
8600.0	0.00	0.00	0.00	2.40	86.00
8650.0	0.00	0.00	0.00	2.10	80.50
8700.0	0.00	0.00	0.00	1.80	75.00
8750.0	0.00	0.00	0.00	1.50	65.50
8800.0	0.00	0.00	0.00	1.20	56.00
8850.0	0.00	0.00	0.00	0.90	44.50
8900.0	0.00	0.00	0.00	0.60	33.00
8950.0	0.00	0.00	0.00	0.30	24.00
9000.0	0.00	0.00	0.00	0.00	15.00
9050.0	0.00	0.00	0.00	0.00	9.00
9100.0	0.00	0.00	0.00	0.00	3.00
9150.0	0.00	0.00	0.00	0.00	1.50
9200.0	0.00	0.00	0.00	0.00	0.00
