5577.349	3.5533
6533.042	0.1378
6553.626	0.1540
6829.502	0.1372
6829.922	0.0328
6831.361	0.0022
6831.961	0.0020
6832.671	0.0170
6834.021	0.0537
6834.451	0.1378
6835.100	0.0030
6835.770	0.0014
6836.080	0.0023
6839.669	0.0053
6840.069	0.0089
6841.959	0.0500
6850.036	0.0036
6850.806	0.0061
6862.693	0.0450
6863.963	0.3732
6864.872	0.0036
6865.042	0.0026
6868.351	0.0028
6868.491	0.0045
6871.071	0.0551
6877.919	0.0016
6878.279	0.0009
6880.238	0.0022
6880.948	0.0212
6881.248	0.0207
6882.108	0.0013
6882.438	0.0035
6882.648	0.0032
6883.337	0.0016
6886.037	0.0032
6887.166	0.0024
6889.296	0.0869
6894.094	0.0062
6894.634	0.0053
6900.803	0.1765
6902.432	0.0027
6903.562	0.0020
6903.882	0.0026
6910.500	0.0014
6911.360	0.0010
6912.639	0.1128
6921.407	0.0029
6923.187	0.2264
6924.596	0.0055
6927.116	0.0010
6927.315	0.0017
6928.335	0.0018
6928.845	0.0013
6929.425	0.0007
6937.643	0.0026
6938.482	0.0016
6939.532	0.1009
6940.772	0.0038
6942.071	0.0027
6948.960	0.1492
6949.170	0.1363
6951.699	0.0082
6952.859	0.0018
6954.558	0.0003
6955.188	0.0016
6955.598	0.0015
6955.888	0.0007
6956.228	0.0018
6956.887	0.0016
6957.457	0.0026
6958.477	0.0010
6958.997	0.0014
6959.937	0.0007
6960.766	0.0018
6961.766	0.0012
6962.836	0.0013
6963.796	0.0009
6965.185	0.0019
6966.335	0.0070
6969.934	0.0725
6971.953	0.0009
6972.993	0.0012
6975.223	0.0015
6976.212	0.0018
6978.262	0.0773
6978.572	0.0730
6979.711	0.0016
6982.521	0.0017
6983.440	0.0025
6986.120	0.0022
6986.330	0.0015
6987.489	0.0014
6987.919	0.0011
6989.269	0.0013
6990.858	0.0009
6991.778	0.0013
6995.407	0.0016
6996.327	0.0012
6996.577	0.0023
6997.007	0.0032
6997.566	0.0020
6999.486	0.0029
7000.946	0.0018
7001.925	0.0010
7002.235	0.0016
7003.865	0.0411
7005.264	0.0016
7011.213	0.0373
7011.633	0.0356
7029.658	0.0035
7041.265	0.0136
7041.465	0.0129
7045.014	0.0017
7045.354	0.0017
7046.023	0.0035
7046.413	0.0018
7046.953	0.0061
7047.873	0.0237
7048.383	0.0183
7049.123	0.0039
7049.582	0.0051
7050.592	0.0042
7051.342	0.0054
7052.342	0.0042
7053.401	0.0046
7054.391	0.0031
7055.761	0.0029
7056.700	0.0011
